primitive variables; primitive Variablen
Statement; Aussage
true; wahr
can; können
compared; verglichen
equals method; equals-Methode
compareTo method; compareTo-Methode
cannot; können nicht
object-oriented Concept; objektorientiertes Konzept
encapsulation; Kapselung
describes; beschreibt
allows; erlaubt
overloading; Überladen
instance Methods; Instanzmethoden
provides; bietet
Control; Kontrolle
data; Daten
concurrent execution; gleichzeitige Ausführung
multiple threads; mehrere Threads
Methods; Methoden
Content; Inhalt
file; Datei
code Fragment; Codefragment
used; verwendet
enable; ermöglichen
compile; kompilieren
public class; öffentliche Klasse
static class; statische Klasse
private class; private Klasse
inserted; eingefügt
line; Zeile
JDK; JDK (Java Development Kit)
part; Teil
JVM; JVM (Java Virtual Machine)
contains; enthält
development Tools; Entwicklungswerkzeuge
platform Independent; plattformunabhängig
used to; wird verwendet, um
handle exceptions; Ausnahmen behandeln
result; Ergebnis
is thrown; wird ausgelöst
run time; Laufzeit
compilation error; Kompilierungsfehler
occurs; tritt auf
default constructor; Standardkonstruktor
Test Passed!; Test bestanden!
runtime exception; Laufzeitausnahme
Java programming language; Java-Programmiersprache
structured programming language; strukturierte Programmiersprache
used to develop; wird verwendet, um zu entwickeln
desktop applications; Desktopanwendungen
web applications; Webanwendungen
low-level programming language; niedrigstufige Programmiersprache
scripting programming language; Skriptprogrammiersprache
why; warum
compilation; Kompilierung
fail; scheitern/nicht erfolgreich sein
option variable; Variablenoption
initialized; initialisiert
break Statement; break-Anweisung
missing; fehlt
data type; Datentyp
incorrect; falsch/fehlerhaft
order; Reihenfolge
case labels; case-Labels/Markierungen
num; Variable num (kann so übernommen werden)
program; Programm
executes; führt aus
indefinitely; unendlich
Method identifier; Methodenbezeichner
correct; korrekt/richtig
according to; gemäß/nach
naming conventions; Namenskonventionen
Bill; Rechnung
Calculator; Rechner
calculate: berechnen
Frage; Frage
Antwort; Antwort
Contents; Inhalte
commands; Befehle
throw an error; werfen einen Fehler
missing; fehlend
are used to; werden verwendet, um
print; ausgeben/anzeigen
is studying; studiert/lernt
code Fragment; Codeausschnitt
occur; auftreten
lines; Zeilen
for loop Statement; for-Schleifen-Anweisung
can be used; kann verwendet werden
to print; um auszugeben
Array; Array
length; Länge
Import; importieren
mean; bedeuten
only; nur
all; alle
package; Paket
subpackages; Unterpakete
if any; falls vorhanden
are imported; werden importiert
given; gegeben/vorgegeben
compilation Fails; Kompilierung schlägt fehl
to make it compile; um es zu kompilieren
replace; ersetzen
nothing is printed; nichts wird ausgegeben
meaning; Bedeutung
write once, run anywhere; Einmal schreiben, überall ausführen
Java programs; Java-Programme
designed; entwickelt
run; ausführen/laufen
web Browsers; Webbrowser
wherever; überall, wo
browser: Browser
marketing Statement; Marketingaussage
must; müssen
compiled; kompiliert
specific platform; spezifische Plattform
Java Virtual Machine (JVM); Java Virtual Machine (JVM)
without being recompiled; ohne erneut kompiliert zu werden
after being compiled; nach der Kompilierung
platform; Plattform
device; Gerät
identify; identifizieren
three Features; drei Merkmale
distributed; verteilt
direct memory Management; direkte Speicherverwaltung
multithreaded; mehrthreadfähig
strongly typed; stark typisiert
dynamically typed; dynamisch typisiert
lotus Jasmine; lotus jasmine (Blumennamen, können übernommen werden)
lotus lily; lotus lily (Blumennamen, können übernommen werden)
exception handling; Ausnahmebehandlung
at least; mindestens
